IBGE;PMATPUB_EF;PMATPUB_EM;DIST_EF_PUB;DIST_EM_PUB;IDEB_AI;IDEB_AF;DOCSUP_EF_PUB;DOCSUP_EM_PUB;TXMOINF;TXBRUTAMORT;TXCOBPLP;PINTERSAP;PINTERDRSAI;REN_TRPCBF_D;REN_TRPCBPC_D;PDEFAGUA;PDEFESGOTO;PDEFLIXO;PDEFSAN;PPOB_POS;PBF;SNIS_PAGUA;PFOCOS;POP_TOT;estado;municipio;casosAcumulado;obitosAcumulado;RegMetro;Região;Porte;Capital;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FUND15A17;R1040;RDPC;RDPC1;RDPC4;RMPOB;RPOB;PMPOB;PPOB;GINI;IDHM_E;IDHM_L;IDHM_R;IDHM;LON;LAT;ANNUAL
352850;87.23;92.02;6.6;8.9;6.2;5.0;66.2;56.7;8.77;6.13;21.14;16.2;1.09;40.9;99.01;39.01;26.65;3.7;1.63;73.43;45.64;63.95;0.04;95601.0;SP;Mairiporã;1689.0;61.0;Região Metropolitana;Região Sudeste;Médio;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-46.5901;-23.3176;4030.0
352860;98.87;100.0;8.2;16.7;6.0;4.7;73.4;70.7;9.17;8.13;6.27;17.31;1.09;47.57;92.74;7.97;1.36;5.71;1.13;80.83;49.89;99.96;0.01;9714.0;SP;Manduri;114.0;0.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-49.3206;-23.006;4576.0
352870;100.0;100.0;7.4;9.0;6.5;4.8;56.6;53.5;52.63;4.63;4.37;26.56;1.23;69.82;48.66;17.46;13.6;17.63;12.7;63.35;42.03;87.07;0.07;5611.0;SP;Marabá Paulista;50.0;1.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-51.9621;-22.1072;5019.0
352880;92.27;92.37;2.5;5.5;6.4;5.4;69.8;46.2;18.87;6.87;13.75;17.01;0.84;54.82;96.86;6.42;3.7;3.91;1.72;66.8;42.1;100.0;0.03;13981.0;SP;Maracaí;183.0;1.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-50.6717;-22.6154;4819.0
352885;100.0;100.0;6.0;24.5;7.7;5.2;89.7;76.1;0.0;7.12;17.73;33.8;1.79;55.92;70.76;12.12;13.37;8.08;6.96;54.6;58.22;98.9;0.01;2949.0;SP;Marapoama;79.0;3.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-49.1304;-21.2592;4995.0
352900;71.55;71.86;4.2;6.7;7.2;5.0;73.3;62.2;9.55;6.86;33.36;15.06;0.33;31.13;150.29;2.17;2.19;1.29;0.43;71.48;48.51;99.73;0.03;235234.0;SP;Marília;4003.0;67.0;Interior;Região Sudeste;Grande;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-49.9505;-22.2176;4829.0
352910;100.0;100.0;6.3;10.8;7.3;6.0;90.9;68.1;0.0;8.41;2.8;21.43;5.23;40.1;135.73;11.34;1.39;10.04;1.12;44.89;22.96;100.0;0.0;2140.0;SP;Marinópolis;54.0;0.0;Interior;Região Sudeste;Pequeno I;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-50.8229;-20.441;5139.0
352920;86.6;86.75;6.1;12.8;7.0;5.1;86.2;69.0;0.0;7.54;13.23;23.73;1.57;52.31;196.67;6.04;5.56;6.67;1.83;71.81;51.84;100.0;0.03;26123.0;SP;Martinópolis;303.0;14.0;Interior;Região Sudeste;Pequeno II;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-51.1714;-22.1466;5041.0
352930;83.21;90.99;4.3;8.5;6.7;5.5;74.9;63.7;7.9;6.6;40.62;17.13;0.74;32.4;108.73;1.57;0.38;0.61;0.11;73.86;52.27;100.0;0.05;82307.0;SP;Matão;901.0;26.0;Interior;Região Sudeste;Médio;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-48.3644;-21.603;4875.0
352940;84.93;89.98;5.0;11.7;6.6;4.9;71.4;70.9;9.08;4.88;38.47;11.33;0.29;12.13;97.68;2.35;7.5;0.18;0.05;77.85;45.75;98.5;0.02;462005.0;SP;Mauá;8038.0;384.0;Região Metropolitana;Região Sudeste;Grande;Interior;76.26;9.56;10.38;41.26;9.32;2.93;5.43;4.1;84.14;14.99;1133.15;196.92;1064.88;94.26;234.69;4.9;13.49;0.528;0.828;0.8540000000000001;0.7959999999999999;0.826;-46.4617;-23.6682;3312.0
